MSLAGoal,PO,1.5
MRequest,X_W_Store,1.0
MInvoiceBatch,MInvoiceBatchLine,0.5
X_AD_Private_Access,PO,2.0
GwtTest,VO,0.5
MLandedCostAllocation,X_C_LandedCostAllocation,5.0
MTimeExpenseLine,MResourceAssignment,1.5
MStore,Server,0.5
RfQCreateSO,MBPartner,0.5
TranslationMgr,MLanguage,1.0
MJournal,X_GL_JournalLine,7.5
MergeProcess,DB,3.0
ProjectClose,X_C_Project,1.5
FinStatement,MPeriod,0.5
MLead,X_C_Lead,67.5
MAsset,MAsset,7.5
WindowCopy,PO,2.0
MAllocationHdr,X_C_PaySelectionLine,0.5
MPriceList,X_M_PriceList_Version,0.5
MInvoiceTax,X_C_InvoiceLine,2.5
WebProjectDeploy,X_CM_WebProject,0.5
LeadProject,CompiereUserException,1.5
MProductPrice,X_M_ProductPrice,8.5
PP_PayPal,PP_PayPal,1.5
MNewsChannel,DB,0.5
MPayment,MOrder,2.0
CostUpdate,X_M_CostUpdateLine,1.5
MBPartnerLocation,MLocation,1.5
MRfQLine,X_C_RfQ,0.5
MRequest,X_AD_User,4.5
MRecurring,X_C_Recurring_Run,2.0
MSequence,X_AD_Sequence,2.0
ViewCreate,Env,0.5
LoadBankStatement,ProcessInfoParameter,1.0
MTableIndex,CLogger,1.0
form,MouseEvents,2.0
MProductCategoryAcct,PO,0.5
ImportConversionRate,PO,1.5
Tax,MLocation,1.0
MMatchInv,MInvoiceLine,0.5
ImportBankStatement,PO,1.5
MInfoColumn,PO,1.0
VolumeTest,Env,0.5
InvoicePrint,MUser,0.5
MProduct,Util,0.5
MProductCategoryAcct,MCostElement,0.5
FinStatement,MAcctSchema,1.5
MProjectIssue,MStorage,0.5
MProductCategory,CLogger,1.0
MOrderLine,X_M_Storage,1.0
GridField,Ctx,7.0
WebInfo,MCommissionRun,0.5
FactAcctReset,FinBalance,0.5
RequisitionPOCreate,X_M_Product_PO,2.0
MCostUpdateLine,X_M_CostUpdateLine,2.5
MProduct,X_A_Asset_Group,0.5
tr,Printable,2.0
MAttributeSet,PO,3.5
WebLogin,WebUtil,16.0
MCommission,MCommissionLine,1.0
MPayment,Env,0.5
InvoicePrint,X_R_MailText,0.5
MSetup,X_M_DiscountSchema,1.5
MediaDirectDeploy,SvrProcess,5.0
MBankStatementLine,MInvoice,0.5
ComponentRemove,CompiereSystemException,1.0
GwtServerUtil,CLogger,1.0
MCashLine,MCashBook,1.5
CalloutCashJournal,CalloutEngine,6.0
MProductPricing,MProductPricing,10.5
X_AD_LoginMsg,PO,2.0
MProduct,MUOM,1.0
X_C_Lead,PO,2.0
MAsset,X_M_ProductDownload,0.5
MClick,PO,0.5
MDunningRunLine,MDunningRunEntry,1.5
ImportOrder,MBPartnerLocation,0.5
WebProjectDeploy,MMediaServer,1.0
MPeriod,X_C_Year,1.0
RoleAccessUpdate,X_AD_Role,0.5
